name,specialty,Mobile No.,experience,City
Sneha Sharma,Nephrologist,+91 9644604089,13,Hajipur
Rajesh Sharma,Ophthalmologist,+91 6802398426,32,Patna
Sunita Mehta,Rheumatologist,+91 8292357479,16,Purnea
Priya Patel,Orthopedic Surgeon,+91 7571362375,12,Hajipur
Sunita Choudhary,Ophthalmologist,+91 9512472697,30,Patna
Rohan Singh,Gynecologist,+91 7827629498,27,Purnea
Vikram Singh,General Physician,+91 9851463257,19,Hajipur
Anjali Yadav,Anesthesiologist,+91 8233065489,29,Patna
Vikram Choudhary,Orthopedic Surgeon,+91 8844273043,2,Purnea
Kiran Kapoor,Urologist,+91 8367988194,8,Hajipur
Sneha Gupta,Nephrologist,+91 6591543913,30,Patna
Amit Yadav,General Physician,+91 9177176678,31,Purnea
Sneha Gupta,Pulmonologist,+91 7605971615,12,Hajipur
Rahul Mehta,Gynecologist,+91 8557179104,6,Patna
Vikram Jain,Gynecologist,+91 8581031853,5,Purnea
Anjali Yadav,General Physician,+91 8416917831,29,Hajipur
Kiran Sharma,Pediatrician,+91 6025117826,36,Patna
Kiran Jain,Oncologist,+91 8144174595,34,Purnea
Priya Kapoor,Radiologist,+91 6644670444,30,Hajipur
Rahul Yadav,Gynecologist,+91 8224578540,36,Patna
Kiran Jain,Ophthalmologist,+91 7762233965,6,Purnea
Anjali Gupta,Dermatologist,+91 8684930760,10,Hajipur
Rahul Sharma,Endocrinologist,+91 6933531449,25,Patna
Priya Kapoor,ENT Specialist,+91 6488787916,2,Purnea
Sunita Mehta,Radiologist,+91 9016181314,36,Hajipur
Rahul Choudhary,Orthopedic Surgeon,+91 7198749327,28,Patna
Sunita Sharma,Ophthalmologist,+91 6336980317,31,Purnea
Sunita Verma,Urologist,+91 7775283186,4,Hajipur
Priya Kapoor,Dermatologist,+91 6575900978,5,Patna
Rajesh Patel,Nephrologist,+91 7592089280,20,Purnea
Kiran Kapoor,Urologist,+91 8517633985,26,Hajipur
Sunita Gupta,Pediatrician,+91 6239110090,27,Patna
Priya Yadav,Cardiologist,+91 6372997193,22,Purnea
Rajesh Sharma,Nephrologist,+91 7217919211,33,Hajipur
Vikram Kapoor,Radiologist,+91 9378554633,29,Patna
Anjali Jain,Psychiatrist,+91 8270877986,1,Purnea
Sneha Gupta,Pulmonologist,+91 8138054352,29,Hajipur
Priya Patel,Pediatrician,+91 6014147074,23,Patna
Sunita Yadav,Pediatrician,+91 7517773697,24,Purnea
Priya Verma,ENT Specialist,+91 9723442288,24,Hajipur
Rahul Choudhary,Rheumatologist,+91 9650413485,14,Patna
Rohan Yadav,Anesthesiologist,+91 6169299224,34,Purnea
Amit Gupta,Psychiatrist,+91 6569973928,1,Hajipur
Rajesh Choudhary,Dermatologist,+91 6068632228,38,Patna
Sunita Patel,Pediatrician,+91 6631117977,9,Purnea
Rohan Mehta,Neurologist,+91 7436626164,33,Hajipur
Sunita Yadav,Anesthesiologist,+91 8012868078,4,Patna
Rahul Singh,Dermatologist,+91 7314290800,32,Purnea
Kiran Singh,Psychiatrist,+91 6348149934,15,Hajipur
Rohan Choudhary,Oncologist,+91 7433120856,9,Patna
Vikram Gupta,Cardiologist,+91 7037138137,8,Purnea
Kiran Sharma,Nephrologist,+91 7755097300,4,Hajipur
Sneha Sharma,Oncologist,+91 9804505017,13,Patna
Sunita Singh,Radiologist,+91 8660502092,10,Purnea
Kiran Sharma,Dermatologist,+91 9391970827,12,Hajipur
Sneha Sharma,Radiologist,+91 8079194255,27,Patna
Sneha Yadav,Endocrinologist,+91 8355613290,23,Purnea
Amit Sharma,Cardiologist,+91 9818078600,10,Hajipur
Kiran Kapoor,Gastroenterologist,+91 6439670707,21,Patna
Sunita Yadav,Gastroenterologist,+91 9769737420,36,Purnea
Sneha Choudhary,Psychiatrist,+91 8271202071,13,Hajipur
Rahul Kapoor,Rheumatologist,+91 9960508710,25,Patna
Rahul Kapoor,Pulmonologist,+91 6553197316,28,Purnea
Rajesh Gupta,Endocrinologist,+91 8075536895,33,Hajipur
Priya Mehta,Gynecologist,+91 9881791602,4,Patna
Sunita Verma,Gynecologist,+91 6828682397,33,Purnea
Rahul Choudhary,Neurologist,+91 8611739421,33,Hajipur
Kiran Choudhary,General Physician,+91 7991127535,24,Patna
Sunita Sharma,Psychiatrist,+91 8939170595,29,Purnea
Rajesh Choudhary,Radiologist,+91 7391737213,28,Hajipur
Sneha Jain,Urologist,+91 9793489268,11,Patna
Sneha Gupta,Endocrinologist,+91 7002509367,21,Purnea
Priya Choudhary,Gynecologist,+91 9233320483,24,Hajipur
Md Rahmat,Hepatologist,8789946676,0,Patna
